지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),일강수량(mm),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),평균 해면기압(hPa),평균 전운량(1/10),평균 지면온도(°C)
108,서울,2010-01-30,1.5,-1.7,738,5,1318,,,4.6,250,1551,2,67.4,4.6,1011.7,1022.4,4,-.3
108,서울,2010-01-31,1.8,-.5,348,4.3,1530,,,2.2,50,800,1.3,82.4,5.7,1010.2,1021,5.3,.2
108,서울,2010-02-01,.8,-2.6,2358,5.1,1528,,,6,340,1943,2.6,71.6,4.6,1007.2,1018,4,.9
108,서울,2010-02-02,-6.2,-9.1,2353,-2.6,0,,,6,290,1718,3.7,29.6,1.1,1013.5,1024.6,.8,-2
108,서울,2010-02-03,-8,-10.8,752,-5,1536,,,6.1,290,1501,3.3,37.1,1.2,1016.5,1027.7,1,-4.3
108,서울,2010-02-04,-4.3,-8.3,644,-.6,1447,.67,0,6.2,270,1353,2.8,50.3,2.2,1014.5,1025.6,2,-2.2
108,서울,2010-02-05,-5.5,-7.9,753,-1.9,1529,,,5.3,290,1354,3,34.5,1.4,1015.8,1026.9,0,-3.1
108,서울,2010-02-06,-4.7,-9.6,736,.9,1614,,,4.4,290,716,2.3,36.6,1.6,1019.2,1030.3,0,-2.9
108,서울,2010-02-07,.7,-6.3,627,5.6,1544,,,3.7,70,858,1.6,31.3,1.8,1016,1026.8,5.9,-1.4
108,서울,2010-02-08,4,3,403,5.7,1235,1.97,0,2.8,70,1136,1.6,47.9,3.9,1007.9,1018.6,10,.9
108,서울,2010-02-09,3.7,2.9,555,4.4,102,14.75,12,3,70,1531,1.3,87.4,6.9,1006.2,1016.8,9.9,1.2
108,서울,2010-02-10,3.9,3.1,554,5,1714,6.75,2,3.6,90,1738,1.9,80.3,6.5,1007,1017.6,9.4,1.2
108,서울,2010-02-11,.6,-.8,959,3.5,141,13.33,10.5,5.7,90,421,3.3,84.4,5.4,1009.5,1020.3,9.6,.3
108,서울,2010-02-12,-.3,-1.8,344,1.1,1513,16.45,.3,4.7,290,2347,2.1,82,4.9,1013.8,1024.7,9.6,.1
108,서울,2010-02-13,-2.3,-3.3,2128,-.3,1518,9.17,1.3,5,290,1133,3,69.8,3.6,1015.7,1026.7,4.4,.2
108,서울,2010-02-14,-2.2,-5,607,1.2,1548,,,3.5,320,2353,1.6,47.3,2.4,1017.8,1028.8,7,.1
108,서울,2010-02-15,-3.1,-6,2350,-.3,1344,,,5.1,340,1909,2.6,49.9,2.4,1015.7,1026.7,3.5,0
108,서울,2010-02-16,-4.5,-8,738,-.4,1450,,,4.9,270,1702,2.7,44.6,1.9,1017.5,1028.6,1.8,-.8
108,서울,2010-02-17,-3.2,-7.2,507,.3,1646,1.93,.2,6.1,230,2306,1.9,52,2.5,1014,1025,7.8,-1.6
108,서울,2010-02-18,-2.9,-4.4,939,-1,329,3.97,2.5,6.6,290,1304,3.2,55.9,2.8,1011.7,1022.7,3.4,-.2
108,서울,2010-02-19,-1,-4.7,631,2.5,1530,,,5,270,1429,2.4,54.5,3.1,1009.5,1020.3,1.9,-.7
108,서울,2010-02-20,3,-1.6,709,8.1,1542,,,5.8,230,1711,1.8,65.3,4.8,1010.7,1021.4,0,.4
108,서울,2010-02-21,4.8,0,557,9.6,1457,,,4.7,230,1505,2.2,57.1,4.7,1009.3,1019.9,2.1,1.8
108,서울,2010-02-22,6.5,3.5,2350,11,1429,2.25,0,4.9,230,628,2.5,66.8,6.3,1007.6,1018.1,4.5,3.6
108,서울,2010-02-23,8.2,1.6,619,16.2,1615,,,5.1,230,1656,2.1,50.5,5,1006,1016.4,0,4.1
108,서울,2010-02-24,12.2,5.5,412,17.9,1334,,,5.3,230,1414,2,47.9,6.6,1003.4,1013.7,4.5,5.3
108,서울,2010-02-25,12,9.8,2352,14.8,21,11.48,26.5,6.6,250,1130,2.1,91.3,12.7,998,1008.2,10,9.4
108,서울,2010-02-26,12,9,358,17.2,1612,,,3.5,320,323,1.6,73.1,10,1001.9,1012.1,4.8,11.9
108,서울,2010-02-27,8.6,6,824,11,1337,,,5.1,70,913,2.6,65.6,7.3,1005.1,1015.4,7.9,8.9
108,서울,2010-02-28,6.8,5.4,746,9.1,1338,.37,0,3.7,290,1434,2.2,74.4,7.3,1008.8,1019.3,8.9,7.5
108,서울,2010-03-01,2.9,1.1,1022,6.3,5,14.37,17,6.3,70,909,4.1,78.9,5.9,1004.3,1015,9.4,3.9
108,서울,2010-03-02,2.7,.6,2344,4.8,1400,,,5.3,290,1456,2.6,72.6,5.4,1006.9,1017.6,7.5,3.1
108,서울,2010-03-03,4.4,-1.5,602,10.2,1535,,,3.9,70,1827,2.2,54.5,4.4,1012.1,1022.8,4.6,5.4
108,서울,2010-03-04,5.5,4.5,627,6.3,0,7,1.5,4.3,70,908,2.8,71.9,6.5,1005.1,1015.6,9.4,5.2
108,서울,2010-03-05,6.4,3.9,602,9.5,1322,3.92,.3,4.3,340,1904,2.3,69.8,6.6,1007.7,1018.2,9.4,7.2
108,서울,2010-03-06,6,2,809,10.7,1510,,,4.3,70,1900,2.3,55.4,5.1,1011.8,1022.3,7.1,6.6
108,서울,2010-03-07,4.9,2.6,610,7.8,1124,,,4.5,70,729,3.1,49.3,4.2,1016.4,1027.1,7.8,5.7
108,서울,2010-03-08,4.1,1,437,7.7,1200,,,4.5,70,1028,2.9,46.8,3.8,1020.3,1031,5.9,3.9
108,서울,2010-03-09,1.5,-3.9,2215,5.7,1229,9.12,14,5.6,270,2216,2.6,68.1,4.5,1012,1022.8,9.1,3.1
108,서울,2010-03-10,-1.4,-4,2,.5,1602,8.95,7.1,4.8,250,2124,2.7,82.4,4.5,1009,1019.8,8.5,.6
108,서울,2010-03-11,2.3,-2.7,506,6,1615,,,5.7,250,1547,3,62.8,4.4,1012.4,1023.1,5.5,1.1
108,서울,2010-03-12,5.8,.9,2341,10,1133,,,9.7,250,1419,4.3,63,6,1005.9,1016.5,8.3,4.3
108,서울,2010-03-13,2.4,-1.9,634,7.9,1541,,,4.9,320,41,2.4,30.5,2.1,1016.5,1027.3,2.6,4.4
108,서울,2010-03-14,7.2,1.2,410,12.6,1234,5.5,7,4.4,90,1715,2.8,46.8,4.9,1012.2,1022.7,5.4,4.4
108,서울,2010-03-15,7.9,2.8,2355,11.1,1238,8.67,12.5,6.5,290,1802,3.4,74.4,8.2,999.9,1010.2,8.3,7.8
108,서울,2010-03-16,.7,-1,2349,3.9,1431,,,7.6,290,1122,4.6,37.6,2.4,1011.4,1022.2,2,3
108,서울,2010-03-17,-.1,-1.9,229,3.1,1217,6.95,1,4.3,290,1242,1.7,54.5,3.2,1015,1025.9,6.1,1.2
108,서울,2010-03-18,.5,-2.8,654,4.6,1531,.75,0,5.6,270,1255,3.1,53,3.3,1009.7,1020.5,1.1,4
108,서울,2010-03-19,4.5,-1.7,653,8.9,1907,,,4.5,250,1518,2.1,46,3.8,1000.9,1011.4,6,4.9
108,서울,2010-03-20,6.8,1.1,2400,11.3,1045,1.17,.2,10.2,290,2310,3.6,70.5,7,990.1,1000.4,9.3,6.7
108,서울,2010-03-21,2.7,-.7,551,7.1,1423,,,7.7,290,8,4.6,46.1,3.4,1005.2,1015.8,1.9,4.8
108,서울,2010-03-22,2.1,-.1,1946,5,1059,7.5,9.9,4.5,180,1417,1.4,80.6,5.6,1008.2,1018.9,8.8,2.5
108,서울,2010-03-23,5.9,.7,15,10.3,1446,,,4.9,290,1521,1.8,67.9,6.1,1007.5,1018,7.9,6.9
108,서울,2010-03-24,8.7,4.3,336,13.8,1537,,,5,340,2044,2.3,50.3,5.5,1007.6,1018,6.5,8.5
108,서울,2010-03-25,5,-.1,2400,9.5,1110,1.78,2.5,7.5,290,1813,3.5,47.1,4.3,1006.7,1017.2,6.5,6
108,서울,2010-03-26,2,-2.9,634,4.7,1331,1.85,0,9,250,1526,3.9,46.8,3.5,1012.8,1023.6,4.4,2.9
108,서울,2010-03-27,5.4,4,317,7.2,1146,,,6.4,250,1122,3.5,74,6.6,1013.1,1023.8,8.5,5.3
108,서울,2010-03-28,4.1,-.1,646,9.2,1556,,,5.9,250,1713,3.2,47.3,3.7,1014.5,1025.2,.4,7.3
108,서울,2010-03-29,5.8,.6,631,11.3,1528,,,5.6,290,1715,2.8,35.6,3.3,1017.8,1028.4,0,7.6
108,서울,2010-03-30,8.3,3.3,407,14.2,1601,,,5,320,1743,2.2,50.1,5.4,1017.2,1027.7,5,9.9
108,서울,2010-03-31,7.3,5.9,1043,8.7,0,11.13,9.5,3.7,70,1418,2.3,84.9,8.6,1006.7,1017.1,9.8,8.2
108,서울,2010-04-01,7,3.6,2351,9.9,1117,4.25,1,6.3,290,1925,2.7,74.3,7.6,1002.3,1012.7,8,7.4
108,서울,2010-04-02,5.5,1.3,606,10.3,1559,,,8.8,250,1651,3.7,43.1,3.7,1007.2,1017.8,1.3,8.2
108,서울,2010-04-03,5,1.1,603,9.5,1556,,,6.8,270,1406,3.1,30.1,2.5,1014.1,1024.8,0,8.2
108,서울,2010-04-04,7.7,2.3,245,14.5,1304,,,6.7,290,1719,2.6,38.9,4,1009.4,1019.9,1.8,7.9
108,서울,2010-04-05,10.4,4.8,511,14.8,1704,.48,0,6.1,290,1908,2.2,59.9,7.3,1005,1015.3,4.8,10.6
108,서울,2010-04-06,8.5,4.8,2346,11.7,1448,,,6,290,1636,3.6,52.9,5.9,1007,1017.4,5.3,10.2
108,서울,2010-04-07,7.3,2.3,537,12.6,1533,,,6.2,290,1759,2.6,39.1,3.9,1013.6,1024.2,.4,10.2
108,서울,2010-04-08,9.1,3.3,553,15.5,1348,,,6.6,290,1638,2.3,43.5,4.7,1012,1022.4,0,11
108,서울,2010-04-09,11.4,5.4,622,17.4,1520,,,4.9,290,1616,2,50.4,6.6,1007.8,1018.1,2.1,13
108,서울,2010-04-10,10.7,8.8,2236,13.5,1001,,,4.6,290,1512,2,62.3,7.9,1004.4,1014.7,9.8,10.3
108,서울,2010-04-11,13.6,6.7,615,19.9,1439,.25,.1,3.9,90,931,2.1,50.8,7.5,1004.5,1014.7,7.1,13.2
108,서울,2010-04-12,13.2,9.6,2355,18.5,1529,4.5,7,6.3,250,2349,3,53.6,7.8,1000.1,1010.3,9.3,14.8
108,서울,2010-04-13,4.4,2.4,2356,9.6,0,2.25,1,7.4,290,608,5.2,50.1,4.3,1007.5,1018.1,6,7.5
108,서울,2010-04-14,4,1.2,435,6.4,1520,,,5.6,270,1218,3.4,28.8,2.3,1015.5,1026.2,5.3,5
108,서울,2010-04-15,7,1.6,619,12.6,1556,,,6.2,290,1947,2.4,34,3.3,1013.8,1024.4,1.9,9.8
108,서울,2010-04-16,8,4,601,13.6,1408,,,5.8,290,1558,2.7,39.8,4,1012.7,1023.3,1.8,11.2
108,서울,2010-04-17,7.6,4,312,12,1522,,,4.7,270,1419,2.3,63.4,6.6,1015.7,1026.3,4.6,9.2
108,서울,2010-04-18,12,6.2,36,17,1351,.08,0,6.3,250,1704,2.7,54.3,7.4,1013.4,1023.7,8.6,11.4
108,서울,2010-04-19,14.7,12.7,406,17.4,1620,.42,.2,3.2,70,959,1.9,55.6,9.3,1006.9,1017.1,8.4,12.5
108,서울,2010-04-20,16.8,13.3,451,20.7,1638,,,4.8,290,1825,2.1,68,12.8,1003.6,1013.6,8.1,17.2
108,서울,2010-04-21,14.1,10.7,2357,18.5,1226,4.75,4,4.8,70,947,3,69.9,10.9,1005.3,1015.5,8.8,14
108,서울,2010-04-22,10.7,9.1,222,12.7,1439,3.7,4.5,4.7,70,751,2.5,66.9,8.5,1003.5,1013.8,10,11.4
108,서울,2010-04-23,9.3,6.6,439,14.3,1412,7.03,4,7.3,290,1550,1.9,71.4,8.2,1005.7,1016.1,6.6,11.8
108,서울,2010-04-24,11.1,5.4,618,16.8,1442,,,6.4,250,1423,2.6,50.1,6.1,1011.5,1021.8,.1,13.2
108,서울,2010-04-25,13.6,6.9,624,19.4,1442,,,4.7,270,1306,2,33.5,4.9,1013.9,1024.2,3.1,14.2
108,서울,2010-04-26,12.4,10.2,1952,17.8,1244,9.4,27,5.6,230,1348,1.9,63.4,8.7,1005.8,1016,9.6,12
108,서울,2010-04-27,7.5,5.1,2328,10.9,23,6.22,4.5,10.9,250,1049,5.9,71.5,7.5,997.1,1007.4,8.6,8.8
108,서울,2010-04-28,5,3.3,2330,7.8,1026,10.82,9.5,8.8,230,1737,3.4,77.5,6.7,997,1007.4,7.9,5.8
108,서울,2010-04-29,8.5,3.4,0,12.4,1412,,,8.7,250,1552,4.2,62,6.7,1000.8,1011.2,2.8,12
108,서울,2010-04-30,9.6,7,600,13.2,1637,,,6.4,290,1459,3.8,63.3,7.4,1004.1,1014.5,4.4,11.2
108,서울,2010-05-01,12.3,5.8,611,17.5,1641,,,6.2,250,1407,3.1,49.5,6.6,1006.3,1016.6,1,14
108,서울,2010-05-02,17.2,9.9,552,23.3,1601,,,5.9,230,1416,2.7,43.4,8.6,1004.1,1014.2,1.4,17.8
108,서울,2010-05-03,18.2,16.5,54,19.5,1514,.23,0,6.9,230,603,3.9,79.5,16.5,1003.5,1013.5,8.8,17
108,서울,2010-05-04,20.2,18.2,341,25.3,1617,,,5.6,250,1540,3.4,70.3,16.5,1003.4,1013.3,7.3,20.3
108,서울,2010-05-05,20.6,15.4,513,25.2,1302,.42,0,6,200,2250,2.3,57.5,13.3,998,1007.8,8,20.3
108,서울,2010-05-06,13.4,10.4,2025,19.8,10,8.17,18,9.9,230,411,4.6,83.4,13.1,993.4,1003.5,7.6,15.1
108,서울,2010-05-07,14.6,9.6,535,20.6,1513,,,6,250,1235,3.7,52.8,8.3,997.9,1008,.4,16.5
108,서울,2010-05-08,16.7,12.1,234,23,1606,,,4.7,230,1444,2.7,49.9,9.2,999.1,1009.1,2.9,18.5
108,서울,2010-05-09,19,13.4,526,25.2,1506,,,7.2,290,2345,2,45.8,9.6,998.6,1008.5,7,20.7
108,서울,2010-05-10,16.1,12.7,2400,20.9,1538,1.83,.1,6.3,290,1,3,51.1,9.1,998.6,1008.6,3.8,20.1
108,서울,2010-05-11,12.9,10.5,533,17,1258,1.25,.4,5.5,290,1751,2.2,60.4,8.9,1001.6,1011.8,4.3,13.9
108,서울,2010-05-12,13.8,8.7,442,19.6,1504,,,6.5,290,1600,2.6,64.5,9.8,1004.6,1014.7,.4,17.2
108,서울,2010-05-13,16,10.2,603,21.9,1614,,,4.5,250,1953,1.6,54.8,9.3,1006,1016.1,1.3,18.7
108,서울,2010-05-14,18,12.1,541,23.7,1449,,,6.4,290,1724,2.3,40.5,8,1008.4,1018.4,.5,20.3
108,서울,2010-05-15,17,12.9,551,21.9,1541,,,5.5,290,1620,2.5,49.4,9.2,1008.6,1018.7,3.8,19.6
108,서울,2010-05-16,18.2,12.6,533,25.1,1636,,,5,290,1744,2.3,48,9.7,1008.3,1018.3,4,19.6
108,서울,2010-05-17,20.3,14.4,543,27,1313,2.5,1,5.3,290,1419,2.3,47.9,10.7,1005.3,1015.3,7.3,23.3
108,서울,2010-05-18,17.3,15,224,19.4,1624,19.5,59,5.2,290,2400,2.5,94.4,18.5,996,1005.9,10,17.8
108,서울,2010-05-19,17.1,14.5,425,20.9,1236,1.33,.5,5.7,290,1402,2.8,82.5,16,996.6,1006.5,7,19.7
108,서울,2010-05-20,19.5,13.6,548,25.4,1429,,,5.5,230,1505,2.7,65.6,14.4,1001.4,1011.2,0,21.4
108,서울,2010-05-21,22.1,14.9,551,28.6,1555,,,3.8,290,1805,1.8,49.8,12.1,1002.3,1012.1,4,22.6
108,서울,2010-05-22,20.1,15.7,2359,25.5,1242,8.85,5.5,4.4,70,2243,1.8,61.1,13.9,996.1,1005.9,9.9,19.7
108,서울,2010-05-23,16.1,14.6,344,18.1,1645,12.5,21.5,5.9,90,1048,4.7,78,14.1,985.1,995,10,16
108,서울,2010-05-24,13.1,12.2,2109,15.8,0,18.08,15.5,5.7,250,1941,3.2,93.1,14,983.8,993.8,10,15.5
108,서울,2010-05-25,14.9,12.1,59,18.8,1821,2.17,.5,4.4,230,53,1.7,85.6,14.4,990.9,1000.9,9.3,15.8
108,서울,2010-05-26,17.4,14,2400,21.7,1446,2.42,.5,4.6,70,1257,2.8,60.8,11.8,1001.8,1011.8,4.3,19.5
108,서울,2010-05-27,17.4,11.5,439,24,1519,,,4.8,270,1725,2.5,53,10.2,1006.8,1016.9,3.1,20.5
108,서울,2010-05-28,17.3,14.5,518,20.4,1222,,,4.8,230,1640,1.9,66.4,13,1005.1,1015.1,8.9,18.6
108,서울,2010-05-29,18.7,14.6,353,23.3,1430,,,4.4,290,1519,1.7,63.1,13.2,1001.6,1011.5,7,20.2
108,서울,2010-05-30,18.9,15,511,23.4,1305,,,5,320,1714,2.2,59.4,12.8,1001.4,1011.3,5.6,19.8
108,서울,2010-05-31,17.3,14.3,653,20,1546,2.33,1.5,4.5,340,1845,2.2,65.5,12.7,1004.1,1014.1,8,19
108,서울,2010-06-01,19.1,12.1,539,26.2,1619,,,4.8,270,1709,2.1,45,9.1,1004.7,1014.7,1.3,21.8
108,서울,2010-06-02,21,14.8,534,26.6,1502,,,4.7,270,1605,1.9,48.1,11.6,1006.8,1016.7,.5,23.4
108,서울,2010-06-03,21.1,16.2,552,26.5,1505,,,5,290,1547,2.7,57.5,14,1008.3,1018.3,.3,25.3
108,서울,2010-06-04,22.3,16.6,548,27.9,1542,,,5,270,1549,2.3,52,13.3,1006.1,1016,.4,26.1
108,서울,2010-06-05,23.3,17.9,549,28.4,1440,,,5.1,290,1359,2.4,50.1,13.6,1003.5,1013.3,4,25.7
108,서울,2010-06-06,24.9,19,455,30.9,1409,,,4.9,290,1432,1.8,43.6,13,1002.6,1012.4,4.9,27.7
108,서울,2010-06-07,25.4,20.9,553,31.4,1417,1.17,.2,3.9,160,1638,2,47,14.7,1004.1,1013.8,3.9,29.4
108,서울,2010-06-08,25.7,19.3,457,31.8,1701,,,5.4,290,1810,2.1,34.1,10.8,1005,1014.8,.4,29.2
108,서울,2010-06-09,26,20.5,521,30.6,1628,,,4.5,250,1236,2.1,42.3,13.7,1004.1,1013.8,0,29.7
108,서울,2010-06-10,26.5,21.7,521,32.7,1702,,,4.3,270,2006,1.8,46.8,15.7,1003.4,1013.1,5.6,31.2
108,서울,2010-06-11,25.6,21.6,317,31.2,1542,.25,0,5,290,2349,2.2,44.3,13.8,1002.2,1011.9,7.8,29.5
108,서울,2010-06-12,17.9,16.9,1932,22,0,22.17,71,4.9,250,101,2.5,91.5,18.7,1000.6,1010.6,10,20.2
108,서울,2010-06-13,22,17.5,339,27.2,1543,7.18,18,3.2,320,1649,1.8,81.3,21.2,998.2,1008,8.8,23.3
108,서울,2010-06-14,22.8,20,651,26.4,1652,4.92,10.5,3.9,270,1744,1.9,80.6,22.2,997.6,1007.4,9.1,25
108,서울,2010-06-15,24.4,20.7,539,29.7,1606,,,6,290,1716,2,70.8,21.2,995.1,1004.8,5.1,26.2
108,서울,2010-06-16,22.3,20.2,522,25.6,1311,1.88,.5,5.2,270,827,2.4,75.3,20,996,1005.8,6.9,24.3
108,서울,2010-06-17,24,20.9,305,27.6,1709,,,4.2,270,156,1.6,73.1,21.6,996.5,1006.2,9.4,24.6
108,서울,2010-06-18,25.9,22.8,2328,31.1,1517,2.08,.4,4.1,290,1728,2.1,67.5,21.9,992.7,1002.3,7.6,27.2
108,서울,2010-06-19,23,21.5,2400,25.8,1137,2.95,4.5,5.9,250,1258,2.2,79.1,22,994.1,1003.9,9,25.1
108,서울,2010-06-20,23,20.8,522,27,1532,,,5.6,290,1905,2.5,74.9,20.8,993.5,1003.2,5.3,26.5
108,서울,2010-06-21,22.2,18.1,744,27.8,1551,.13,0,3.9,270,1523,2.3,69,17.7,994.9,1004.7,1.8,26.7
108,서울,2010-06-22,21.6,18.4,500,25.2,1120,,,5.7,230,1519,2.3,50.8,12.7,996.9,1006.7,5,25.2
108,서울,2010-06-23,23,16.7,539,28.6,1645,,,4,230,1405,2,53.6,14.3,998,1007.8,.1,26.7
108,서울,2010-06-24,24.4,18.5,529,30.8,1545,,,4.6,250,1652,1.7,54.8,16.2,999.1,1008.8,.3,27.5
108,서울,2010-06-25,26.7,20.3,521,32.5,1534,,,3.4,160,2041,1.9,50.1,16.7,998.9,1008.5,4.6,30.4
108,서울,2010-06-26,24.8,21.4,2348,27.2,1612,3.67,3.5,4.7,70,1501,2.7,59.9,18.5,996.1,1005.8,9.5,27.3
108,서울,2010-06-27,21.8,20.9,2304,23.3,1706,9.67,9.5,5.4,230,1320,2.6,85.5,22.2,996.7,1006.5,8.3,22.7
108,서울,2010-06-28,24.6,19.7,603,30.5,1443,,,4.7,290,1711,2.1,67.9,20.5,997,1006.7,2.9,26.8
108,서울,2010-06-29,23.9,21.4,535,27.2,1358,2,0,4.2,340,1849,1.8,74,21.8,997.1,1006.8,7.3,25.6
108,서울,2010-06-30,22.8,20.6,900,24.8,1327,10.53,9.5,4.1,270,740,1.4,81.1,22.4,995.5,1005.2,10,24
108,서울,2010-07-01,26.1,21.9,600,30.7,1539,,,4.3,230,1823,1.8,72.1,24,993.5,1003.1,8.8,27.9
108,서울,2010-07-02,24.9,23.8,2350,25.9,1342,15.08,58,4.8,230,2034,1.7,89,28.2,989.8,999.4,10,25
108,서울,2010-07-03,24.1,22.5,829,25.7,1725,10,5.5,3.1,250,253,1.4,88.1,26.3,988.6,998.3,9.5,25.2
108,서울,2010-07-04,26.5,23.4,448,29.9,1536,,,3.8,290,1826,2.2,72,24.8,989.3,998.8,7.4,28.5
108,서울,2010-07-05,26.1,23.1,525,30.8,1437,,,5.5,290,1715,2.8,74.1,24.6,988.5,998.1,4.5,29.8
108,서울,2010-07-06,26,21.7,229,31.6,1540,,,6.1,250,1730,3.2,61.6,19.7,990.1,999.6,5.1,29.9
108,서울,2010-07-07,25.6,22.4,600,29.6,1424,,,6.9,290,1847,2.7,68,21.7,994.3,1003.9,4.3,30.5
108,서울,2010-07-08,24.7,21.9,550,29.6,1414,2.78,.1,5.1,270,1129,1.9,64.6,19.7,998.8,1008.5,7.5,30.7
108,서울,2010-07-09,24.9,21.2,504,29.8,1524,.27,.5,6.1,230,1654,2.3,64.4,19.7,997.7,1007.4,4.1,29
108,서울,2010-07-10,25.6,21.7,545,29.2,1436,1.2,0,3,200,1420,1.5,64.6,20.8,998,1007.7,6.4,28.6
108,서울,2010-07-11,23.8,22.2,2355,26.5,1538,7.5,.5,4.5,70,1634,2.6,67.8,19.8,993.3,1003,7.9,26.8
108,서울,2010-07-12,25.1,21,524,28.6,1532,,,3.4,290,1805,1.9,61.3,19.4,998.7,1008.4,5,27.3
108,서울,2010-07-13,26.1,22,529,31.3,1412,1.35,1.5,5.5,290,1759,2,67.5,22.2,998.1,1007.8,4.4,30.7
108,서울,2010-07-14,24.8,21.8,450,27.7,1526,.78,1,3.7,250,1414,1.9,74,23,999.4,1009.1,6.3,25.6
